prefix,publisher,journals,dois
10.5174,"AVES Publishing Company - Trakya University Faculty of Medicine",0,0
10.7146,"Aarhus University Library",1,36
10.11616,"Abant Izzet Baysal University Graduate School of Social Sciences",0,0
10.5663,"Aboriginal Policy Studies",1,37
10.5897,"Academic Journals",93,10419
10.12732,"Academic Publications",3,121
10.13187,"Academic Publishing House Researcher",0,0
10.2107,"Academic Society of Technology Management",0,0
10.5689,"Academic and Scientific Publishers",0,0
10.13063,"Academy Health",1,10
10.4304,"Academy Publisher",10,6813
10.5121,"Academy and Industry Research Collaboration Center",57,4485
10.5644,"Academy of Sciences and Arts of Bosnia anad Herzegovina",3,127
10.5767,"Academy of Sciences and Arts of the Republic of Srpska",1,61
10.7903,"Academy of Taiwan Information Systems Research",3,17
10.4129,"Accademia Italiana di Scienze Forestali",1,237
10.1121,"Acoustical Society of America",5,121885
10.1250,"Acoustical Society of Japan",2,1700
10.2340,"Acta Dermato-Venereologica",2,3731
10.5846,"Acta Ecologica Sinica",1,1307
10.5457,"Acta Medica Saliniana",2,91
10.5506,"Acta Physica Polonica B Editorial Office",2,850
10.7169,"Adam Mickiewicz University",1,245
10.7785,"Adenine Press, Inc.",2,136
10.5929,"Administrative Issues Journal: Education, Practice and Research",1,37
10.7716,"Advanced Electromagnetics",1,48
10.5138,"Advanced Research Journals",3,94
10.4059,"Aequitas Publishing",0,0
10.3357,"Aerospace Medical Association",1,1065
10.3213,"Africa Magna Verlag",1,231
10.4314,"African Journals Online",341,47469
10.11131,"Agial Publishing House",1,5
10.3098,"Agricultural History Society",1,537
10.4141,"Agricultural Institute of Canada",3,16868
10.5297,"Airiti Press, Inc.",1,171
10.4999,"Akademi Doktolar Yayinevi",1,93
10.1556,"Akademiai Kiado RT",65,20649
10.7868,"Akademizdatcenter Nauka",65,4346
10.12816,"Al Manhal FZ, LLC",0,0
10.1363,"Alan Guttmacher Institute",2,714
10.4027,"Alaska Sea Grant",0,0
10.2148,"Alexandrine Press",1,381
10.5619,"Algorithmic Finance, LLC",0,0
10.1043,"Allen Press",0,0
10.12932,"Allergy, Asthma, and Immunology Association of Thailand",1,35
10.3103,"Allerton Press",45,22211
10.1606,"Alliance for Children and Families",1,1131
10.5966,"Alphamed Press",1,179
10.1634,"Alphamed Press",2,2364
10.3766,"American Academy of Audiology",1,675
10.5992,"American Academy of Cosmetic Surgery",1,88
10.1563,"American Academy of Implant Dentistry",1,1088
10.5435,"American Academy of Orthopaedic Surgeons",1,172
10.1542,"American Academy of Pediatrics",4,20994
10.1902,"American Academy of Periodontology",3,8371
10.5664,"American Academy of Sleep Medicine",1,322
10.2308,"American Accounting Association",14,4398
10.5641,"American Alliance for Health, Physical Education, Recreation and Dance",0,0
10.5326,"American Animal Hospital Association",1,212
10.5032,"American Association for Agricultural Education",1,938
10.1158,"American Association for Cancer Research",12,57048
10.1373,"American Association for Clinical Chemistry",1,4784
10.1126,"American Association for the Advancement of Science",5,250960
10.4158,"American Association of Clinical Endocrinologists",1,2172
10.1208,"American Association of Pharmaceutical Scientists",3,2584
10.1118,"American Association of Physicists in Medicine",1,24696
10.1119,"American Association of Physics Teachers",2,37159
10.5274,"American Association of Sugarbeet Technologist",1,1247
10.1352,"American Association on Intellectual and Developmental Disabilities",3,2031
10.3847,"American Astronomical Society",2,353
10.3122,"American Board of Family Medicine",1,1311
10.1021,"American Chemical Society",58,1226115
10.7156,"American Chinese Medical Exchange Society",1,234
10.1597,"American Cleft Palate Association",1,2563
10.1378,"American College of Chest Physicians",1,43300
10.1120,"American College of Medical Physics",1,684
10.7326,"American College of Physicians",1,52291
10.1354,"American College of Veterinary Pathologists",0,0
10.3168,"American Dairy Science Association",1,28296
10.2344,"American Dental Society of Anethesiology",1,256
10.2337,"American Diabetes Association",4,25490
10.1257,"American Economic Association",9,6432
10.3102,"American Educational Research Association",6,12938
10.5698,"American Epilepsy Society",1,899
10.1577,"American Fisheries Society",6,11569
10.1029,"American Geophysical Union",5,5713
10.4050,"American Helicopter Society",2,1447
10.3320,"American Industrial Hygiene Association",1,405
10.1202,"American Industrial Hygiene Association",2,2222
10.2514,"American Institute of Aeronautics and Astronautics",16,66724
10.3934,"American Institute of Mathematical Sciences",17,7413
10.1063,"American Institute of Physics",19,492263
10.7863,"American Institute of Ultrasound in Medicine",1,75
10.5131,"American Journal of Comparative Law",1,204
10.4278,"American Journal of Health Promotion",1,2342
10.5688,"American Journal of Pharmaceutical Education",1,1865
10.2475,"American Journal of Science",1,7580
10.5860,"American Library Association",4,177088
10.1509,"American Marketing Association",4,2595
10.1090,"American Mathematical Society",15,74550
10.1001,"American Medical Association",21,561241
10.1175,"American Meteorological Society",15,83640
10.5531,"American Museum of Natural History",1,3
10.7817,"American Oriental Society",0,0
10.7556,"American Osteopathic Association",1,16
10.3146,"American Peanut Research & Education Society",1,1054
10.1331,"American Pharmacists Association",2,1514
10.1103,"American Physical Society",14,533875
10.2522,"American Physical Therapy Association",1,1432
10.1152,"American Physiological Society",14,41321
10.7547,"American Podiatric Medical Association",0,0
10.1176,"American Psychiatric Publishing",7,16174
10.1037,"American Psychological Association",96,255489
10.2105,"American Public Health Association",3,40411
10.2214,"American Roentgen Ray Society",1,29181
10.5330,"American School Counselor Association",1,201
10.1166,"American Scientific Publishers",45,22230
10.1511,"American Scientist",1,1591
10.4299,"American Society for Aesthetics",1,6
10.1074,"American Society for Biochemistry and Molecular Biology",2,94135
10.1194,"American Society for Biochemistry and Molecular Biology, Journal of Lipid Research",1,3271
10.1187,"American Society for Cell Biology",2,628
10.1091,"American Society for Cell Biology",1,6426
10.1172,"American Society for Clinical Investigation",1,31900
10.1309,"American Society for Clinical Pathology",3,5996
10.5344,"American Society for Enology and Viticulture",1,202
10.1128,"American Society for Microbiology",16,108371
10.3945,"American Society for Nutrition",3,4253
10.1124,"American Society for Pharmacology & Experimental Therapeutics",4,13268
10.13031,"American Society of Agricultural and Biological Engineers",0,0
10.4195,"American Society of Agronomy",1,94
10.2134,"American Society of Agronomy",10,31397
10.3198,"American Society of Agronomy",1,509
10.2164,"American Society of Andrology",0,0
10.2527,"American Society of Animal Science",2,3678
10.1061,"American Society of Civil Engineers",36,60837
10.1200,"American Society of Clinical Oncology",2,14357
10.4140,"American Society of Consultant Pharmacists",1,705
10.12926,"American Society of Group Psychotherapy and Pyschodrama - ASGPP",1,10
10.2146,"American Society of Health System Pharmacists",1,3382
10.1182,"American Society of Hematology",3,21449
10.5305,"American Society of International Law",3,862
10.4319,"American Society of Limnology and Oceanography, Inc.",2,8949
10.1681,"American Society of Nephrology",1,4194
10.2215,"American Society of Nephrology",1,2275
10.3174,"American Society of Neuroradiology",2,3143
10.1199,"American Society of Plant Biologists",1,99
10.1105,"American Society of Plant Biologists",1,5818
10.1104,"American Society of Plant Biologists",1,27043
10.1600,"American Society of Plant Taxonomists",1,851
10.4269,"American Society of Tropical Medicine and Hygiene",1,1696
10.1044,"American Speech-Language-Hearing Association",24,6484
10.1164,"American Thoracic Society",2,16148
10.1165,"American Thoracic Society",1,4686
10.1513,"American Thoracic Society",1,877
10.1116,"American Vacuum Society",5,36321
10.2460,"American Veterinary Medical Association",2,9139
10.5942,"American Water Works Association",1,270
10.5991,"American Water Works Association - Opflow",1,120
10.12999,"American Water Works Association - Standards",0,0
10.7159,"American Water Works Association, IDA Journal",0,0
10.2466,"Ammons Scientific",2,55303
10.5117,"Amsterdam University Press",0,0
10.3337,"Anatomische Gesellschaft",0,0
10.1501,"Ankara University",8,661
10.1370,"Annals of Family Medicine",1,1326
10.4007,"Annals of Mathematics, Princeton U",1,752
10.1146,"Annual Reviews",47,40332
10.1537,"Anthropological Society of Nippon",4,5234
10.7720,Antibodypedia,0,0
10.1239,"Applied Probability Trust",2,2529
10.5044,"Applied Science and Analysis",0,0
10.1578,"Aquatic Mammals Journal",1,544
10.2476,"Arachnological Society of Japan",1,938
10.5431,"Arachnologische Gesellschaft e.v.",1,356
10.7902,"Araucaria Comunicacao Integrada",1,31
10.3764,"Archaeological Institute of America",1,1019
10.3130,"Architectural Institute of Japan",5,6030
10.5659,"Architectural Institute of Korea",1,57
10.5858,"Archives of Pathology and Laboratory Medicine",1,489
10.5999,"Archives of Plastic Surgery (KAMJE)",1,218
10.13068,"Arkiv Forlag & Tidskrift",0,0
10.3361,"Armenian Association of Endoscopic Surgery",1,5
10.1191,"Arnold Publishers",18,645
10.7308,"Arquivos em Odontologia",1,25
10.4303,"Ashdin Publishing",26,419
10.5415,"Asia Pacific Association of Allergy, Asthma, and Clinical Immunology",1,93
10.5713,"Asian Australasian Association of Animal Production Societies",1,666
10.6031,"Asian Culture Society International",1,13
10.4130,"Asian Electric Vehicle Society",1,176
10.3830,"Asian Network for Scientific Information",1,2
10.12980,"Asian Pacific Journal of Tropical Medicine Press",0,0
10.7314,"Asian Pacific Organization for Cancer Prevention",1,1250
10.12954,"Asian Pacific Prostate Society",1,20
10.7195,"Asociacion Cientifica ICONO14",1,66
10.7818,"Asociacion Espanola de Ecologia Terrestre",1,25
10.7201,"Asociacion Espanola de Economia Agraria",1,16
10.5616,"Asociacion Espanola de Fitosociologia",2,14
10.4114,"Asociacion Espanola para la Inteligencia Artificial",1,429
10.11160,"Asociacion Herpetologica Espanola",1,5
10.12706,"Asociacion Interprofesional Desarrollo Agrario AIDA",1,8
10.4994,"Asociacion Japonesa de Hispanistas",1,28
10.5460,"Asociacion Mexicana de Comportamiento y Salud",1,1
10.12933,"Asociacion Mexicana de Mastozoologia A.C.",1,96
10.7184,"Asociacion Nacional de Historia y Anthropologia de los Cuidados",1,113
10.5710,"Asociacion Paleontologica Argentina",1,99
10.7446,"Associacao Aerospacial Brasileira",1,82
10.9788,"Associacao Brasileira de Psicologia",1,41
10.5008,"Associacao Educacional de Vitoria",1,80
10.5894,"Associacao Portuguesa dos Recursos Hidricos",2,216
10.5747,"Associacao Prudentina de Educacao e Cultura",4,446
10.4034,"Associacao de Apoio a Pesquisa em Saude Bucal",2,650
10.5665,"Associated Professional Sleep Societies",1,533
10.5298,"Association for Applied Psychophysiology and Biofeedback",1,160
10.5328,"Association for Career and Technical Education Research",2,191
10.3115,"Association for Computational Linguistics",0,0
10.1145,"Association for Computing Machinery",111,90281
10.5193,"Association for Experiential Education",1,151
10.4996,"Association for Fire Ecology",1,195
10.5730,"Association for Library Collections & Technical Services",0,0
10.5715,"Association for Natural Language Processing",1,619
10.1167,"Association for Research in Vision and Opthalmology",3,24977
10.5612,"Association for Slavic, East European, and Eurasian Studies",1,424
10.2178,"Association for Symbolic Logic",2,1334
10.2309,"Association for Vascular Access",0,0
10.2345,"Association for the Advancement of Medical Instrumentation",1,1536
10.5872,"Association for the Advancement of Psychological Science",1,12
10.5323,"Association for the Study of African American Life and History",2,208
10.7171,"Association of Biomolecular Resource Facilities",1,35
10.6030,"Association of Experimental Stroke and Translational Medicine",1,40
10.5667,"Association of Genuine Traditional Korean Medicine",1,64
10.5799,"Association of Health Investigations",2,405
10.5200,"Association of Lithuaninan Serials",3,136
10.6015,"Association of Perioperative Registered Nurses",0,0
10.5818,"Association of Reptilian and Amphibian Veterinarians",1,81
10.5199,"Association of Sport Tourism and Recreation",1,30
10.7753,"Association of Technology and Science",2,94
10.5954,"Association of Urban Housing Sciences",0,0
10.5721,"Associazione Italiana di Telerilevamento",2,214
10.7452,"Astro, Ltd.",1,88
10.4138,"Atlantic Geology",1,37
10.2991,"Atlantis Press",3,307
10.5147,"Atlas Scienfitic Publishing, LP",11,62
10.3327,"Atomic Energy Society of Japan",3,4028
10.12943,"Atomic Energy of Canada Limited",1,31
10.2211,Atypon,0,0
10.4066,"Australasian Medical Journal",1,460
10.5694,"Australasian Medical Publishing Co. Pty. Ltd.",2,1247
10.3127,"Australian Computer Society",1,38
10.7575,"Australian International Academic Centre",5,280
10.3853,"Australian Museum",6,1538
10.5263,"Australian Society for the Study of Labour History",1,173
10.5401,"Australian and New Zealand Society of the History of Medicine",1,84
10.4112,"Austrian Veterinary Society",1,1
10.11159,"Avestia Publishing",4,59
10.7137,"BEM - Bordeaux Management School",1,1
10.12938,"BMFH Press",1,24
10.1136,"BMJ Publishing Group",47,695970
10.4292,"Baishideng Publishing Group Co",1,49
10.4291,"Baishideng Publishing Group Co",1,63
10.3748,"Baishideng Publishing Group Co",1,5327
10.5498,"Baishideng Publishing Group Co  (World Journal of Psychiatry)",1,26
10.11569,"Baishideng Publishing Group Co (World Chinese Journal of Digestology)",1,315
10.5313,"Baishideng Publishing Group Co (World Journal of Anesthesiology)",1,1
10.4330,"Baishideng Publishing Group Co (World Journal of Cardiology)",1,208
10.4331,"Baishideng Publishing Group Co (World Journal of Chemistry)",1,99
10.12998,"Baishideng Publishing Group Co (World Journal of Clinical Cases)",1,32
10.5495,"Baishideng Publishing Group Co (World Journal of Clinical Infectious Diseases)",1,12
10.5306,"Baishideng Publishing Group Co (World Journal of Clinical Oncology)",1,78
10.5409,"Baishideng Publishing Group Co (World Journal of Clinical Pediatrics)",1,13
10.5410,"Baishideng Publishing Group Co (World Journal of Clinical Urology)",0,0
10.5492,"Baishideng Publishing Group Co (World Journal of Critical Care Medicine)",1,18
10.5314,"Baishideng Publishing Group Co (World Journal of Dermatology)",1,9
10.4239,"Baishideng Publishing Group Co (World Journal of Diabetes)",1,95
10.5493,"Baishideng Publishing Group Co (World Journal of Experimental Medicine)",1,18
10.4253,"Baishideng Publishing Group Co (World Journal of Gastrointestinal Endoscopy)",1,265
10.4251,"Baishideng Publishing Group Co (World Journal of Gastrointestinal Oncology)",1,163
10.4240,"Baishideng Publishing Group Co (World Journal of Gastrointestinal Surgery)",1,211
10.5315,"Baishideng Publishing Group Co (World Journal of Hematology)",1,8
10.4254,"Baishideng Publishing Group Co (World Journal of Hepatology)",1,179
10.5494,"Baishideng Publishing Group Co (World Journal of Hypertension)",1,13
10.5411,"Baishideng Publishing Group Co (World Journal of Immunology)",1,6
10.5496,"Baishideng Publishing Group Co (World Journal of Medical Genetics)",1,8
10.5662,"Baishideng Publishing Group Co (World Journal of Methodology)",1,8
10.5527,"Baishideng Publishing Group Co (World Journal of Nephrology)",1,30
10.5316,"Baishideng Publishing Group Co (World Journal of Neurology)",1,2
10.5317,"Baishideng Publishing Group Co (World Journal of Obstetrics and Gynecology)",1,25
10.5318,"Baishideng Publishing Group Co (World Journal of Opthalmology)",1,5
10.5312,"Baishideng Publishing Group Co (World Journal of Orthopedics)",1,71
10.5319,"Baishideng Publishing Group Co (World Journal of Otorhinolaryngology)",1,6
10.5497,"Baishideng Publishing Group Co (World Journal of Pharmacology)",1,16
10.4329,"Baishideng Publishing Group Co (World Journal of Radiology)",1,212
10.5320,"Baishideng Publishing Group Co (World Journal of Respirology)",1,5
10.5499,"Baishideng Publishing Group Co (World Journal of Rheumatology)",1,7
10.4252,"Baishideng Publishing Group Co (World Journal of Stem Cells)",1,64
10.5321,"Baishideng Publishing Group Co (World Journal of Stomatology)",1,6
10.5412,"Baishideng Publishing Group Co (World Journal of Surgical Procedures)",1,7
10.5528,"Baishideng Publishing Group Co (World Journal of Translational Medicine)",1,4
10.5500,"Baishideng Publishing Group Co (World Journal of Transplantation)",1,19
10.5501,"Baishideng Publishing Group Co (World Journal of Virology)",1,30
10.7136,"Baltic Journal of Comparative and Clinical Systems Biology",1,12
10.7564,"Baltzer Science Publishers",3,31
10.3329,"Bangladesh Journals Online",107,9582
10.11155,"Bangladesh Society for Veterinary Microbiology and Public Health",0,0
10.6002,"Baskent University Publishers",1,201
10.5606,"Baycinar Tibbi Yayincilik",7,838
10.2190,"Baywood Publishing",22,18931
10.1615,"Begell House Inc.",52,17054
10.3762,Beilstein-Institut,2,1247
10.11643,"Belgrade Centre for Security Policy",1,7
10.2747,"Bellwether Publishing",6,2832
10.2174,"Bentham Science",398,63422
10.3167,"Berghahn Books",38,6180
10.2202,"Berkeley Electronic Press",1,1
10.3150,"Bernoulli Society for Mathematical Statistics and Probability",1,619
10.12808,"Bilgi Terecem",1,75
10.12995,"Bilig, Journal of Social Sciences of Turkish World",0,0
10.5578,"Bilimsel Tip Publishing House",4,261
10.12733,"Binary Information Press",2,202
10.5708,"Binwin BT",1,153
10.3984,"BioInfoBank Institute",1,36
10.1635,"BioOne (Academy of Natural Sciences of Philadelphia)",1,156
10.3377,"BioOne (African Zoology)",1,279
10.1636,"BioOne (American Arachnological Society)",1,855
10.1637,"BioOne (American Association of Avian Pathologists)",2,2710
10.1638,"BioOne (American Association of Zoo Veterinarians)",1,1233
10.1639,"BioOne (American Bryological and Lichenological Society)",3,5719
10.3157,"BioOne (American Entomological Society)",2,625
10.1640,"BioOne (American Fern Society)",1,344
10.1641,"BioOne (American Institute of Biological Sciences)",0,0
10.4003,"BioOne (American Malacological Society)",1,194
10.2987,"BioOne (American Mosquito Control Association)",1,801
10.1206,"BioOne (American Museum of Natural History)",2,694
10.1642,"BioOne (American Ornithologists Union)",3,1269
10.1562,"BioOne (American Society for Photobiology)",1,914
10.1643,"BioOne (American Society of Icthyologists and Herpetologists)",1,1718
10.1644,"BioOne (American Society of Mammalogists)",2,2532
10.1645,"BioOne (American Society of Parasitologists)",1,3546
10.7872,"BioOne (Association des Amis des Cryptogames)",3,223
10.1646,"BioOne (Association for Tropical Biology)",1,396
10.1647,"BioOne (Association of Avian Veterinarians)",1,647
10.1648,"BioOne (Association of Field Ornithologists)",0,0
10.1893,"BioOne (Beta Beta Biological Society)",1,233
10.2994,"BioOne (Brazilian Herpetological Society)",1,215
10.3374,"BioOne (Bulletin of the Peabody Museum of Natural History)",1,87
10.2985,"BioOne (Cactus and Succulent Society of America)",2,558
10.3120,"BioOne (California Botanical Society)",1,409
10.2992,"BioOne (Carnegie Museum of Natural History)",2,165
10.2179,"BioOne (Castanea)",1,467
10.2744,"BioOne (Chelonian Conservation and Biology Journal)",2,346
10.2112,"BioOne (Coastal Education and Research Foundation)",1,1918
10.1649,"BioOne (Coleopterists Society)",1,1121
10.1896,"BioOne (Conservation International)",3,438
10.1650,"BioOne (Cooper Ornithological Society)",1,928
10.1651,"BioOne (Crustacean Society)",1,413
10.1652,"BioOne (EUCC - The Coastal Union)",0,0
10.2982,"BioOne (East African Natural History Society)",1,237
10.2980,"BioOne (Ecoscience)",1,503
10.5537,"BioOne (Edentata)",0,0
10.12952,"BioOne (Elementa)",0,0
10.1603,"BioOne (Entomological Society of America)",5,10299
10.4001,"BioOne (Entomological Society of Southern Africa)",1,318
10.4289,"BioOne (Entomological Society of Washington)",1,398
10.3158,"BioOne (Field Museum of Natural History)",5,87
10.5735,"BioOne (Finnish Zoological and Botanical Publishing Board)",2,638
10.1653,"BioOne (Florida Entomological Society)",1,1484
10.1608,"BioOne (Freshwater Biological Association)",0,0
10.4290,"BioOne (Freshwater Biological Association)",1,6
10.3100,"BioOne (Harvard University Botany Libraries)",1,233
10.1654,"BioOne (Helminthological Society of Washington)",1,532
10.3105,"BioOne (Herpetological Society of Japan)",1,72
10.1655,"BioOne (Herpetologists League)",2,643
10.3378,"BioOne (Human Biology, The International Journal of Population Biology and Genetics)",1,235
10.1656,"BioOne (Humboldt Field Research Institute)",2,1621
10.1657,"BioOne (Institute of Arctic and Alpine Research)",1,799
10.5814,"BioOne (Institute of Geographic Scienes and Natural Resources Research, Chinese Academy of Sciences)",1,78
10.4002,"BioOne (Institute of Malacology)",1,140
10.1658,"BioOne (International Association of Vegetation Science)",0,0
10.1659,"BioOne (International Mountain Society and United Nations University)",1,1122
10.2181,"BioOne (JANAS)",1,104
10.1274,"BioOne (Japanese Society of Mammalian Ova Research)",1,532
10.3394,"BioOne (Journal of Great Lakes Research)",0,0
10.3376,"BioOne (Journal of Vector Ecology)",0,0
10.2194,"BioOne (Journal of Wildlife Management)",0,0
10.3721,"BioOne (Journal of the North Atlantic)",1,53
10.1660,"BioOne (Kansas Academy of Science)",1,348
10.3101,"BioOne (Kentucky Academy of Science)",1,148
10.3106,"BioOne (Mammalogical Society of Japan)",1,401
10.1661,"BioOne (Micropaleontology Press)",1,76
10.3417,"BioOne (Missouri Botanical Garden Press)",2,875
10.5252,"BioOne (Museum National d'Histoire Naturelle, Paris, France)",4,494
10.3161,"BioOne (Museum and Institute of Zoology at the Polish Academy of Sciences)",3,1021
10.3099,"BioOne (Museum of Comparative Zoology, Harvard University)",2,41
10.5733,"BioOne (Natal Museum of South Africa)",1,147
10.1662,"BioOne (National Association of Biology Teachers)",0,0
10.2983,"BioOne (National Shellfisheries Association)",1,819
10.3375,"BioOne (Natural Areas Journal)",1,414
10.5253,"BioOne (Netherlands Ornithologists' Union)",1,276
10.3119,"BioOne (New England Botanical Club)",1,297
10.1663,"BioOne (New York Botanical Garden)",0,0
10.1664,"BioOne (New York Entomological Society)",2,234
10.3955,"BioOne (Northwest Scientific Association)",1,284
10.1898,"BioOne (Northwestern Naturalist)",1,285
10.2326,"BioOne (Ornithological Society of Japan)",2,298
10.1665,"BioOne (Orthopterist's Society)",1,360
10.3956,"BioOne (Pacific Coast Entomological Society)",1,250
10.2984,"BioOne (Pacific Science)",1,286
10.2517,"BioOne (Paleontological Society of Japan)",1,283
10.1666,"BioOne (Paleontological Society)",2,2087
10.2180,"BioOne (Palynology)",0,0
10.2990,"BioOne (Politics and the Life Sciences)",1,177
10.1667,"BioOne (Radiation Research Society)",1,2603
10.1579,"BioOne (Royal Swedish Academy of Sciences)",1,992
10.1899,"BioOne (Society for Freshwater Science)",2,868
10.1290,"BioOne (Society for In Vitro Biology)",1,10
10.1668,"BioOne (Society for Integrative and Comparative Biology)",1,218
10.2111,"BioOne (Society for Range Management)",2,1675
10.1669,"BioOne (Society for Sedimentary Geology)",1,330
10.1670,"BioOne (Society for the Study of Amphibians & Reptiles)",1,1141
10.1554,"BioOne (Society for the Study of Evolution)",1,1838
10.2993,"BioOne (Society of Ethnobiology)",1,195
10.1368,"BioOne (Society of Protozoologists)",0,0
10.3958,"BioOne (Society of Southwestern Entomologists)",1,365
10.1671,"BioOne (Society of Vertebrate Paleontology)",0,0
10.1672,"BioOne (Society of Wetland Scientists)",2,464
10.3954,"BioOne (South Carolina Entomological Society)",1,92
10.3957,"BioOne (Southern African Wildlife Management Association)",1,168
10.3160,"BioOne (Southern California Academy of Sciences)",1,115
10.1894,"BioOne (Southwestern Association of Naturalists)",1,973
10.2988,"BioOne (The Biological Society of Washington)",2,413
10.3356,"BioOne (The Raptor Research Foundation)",1,459
10.3159,"BioOne (Torrey Botanical Society)",1,440
10.3959,"BioOne (Tree-Ring Society)",1,150
10.1673,"BioOne (University of Arizona Library)",1,797
10.1674,"BioOne (University of Notre Dame)",1,1206
10.2192,"BioOne (Ursus)",1,223
10.1675,"BioOne (Waterbird Society)",1,800
10.1614,"BioOne (Weed Science Society of America)",3,3795
10.3398,"BioOne (Western North American Naturalist)",2,549
10.2981,"BioOne (Wildlife Biology)",1,416
10.2193,"BioOne (Wildlife Society Bulletin)",0,0
10.1676,"BioOne (Wilson Ornithological Society)",2,1595
10.2108,"BioOne (Zoological Society of Japan)",1,2780
10.13156,"BioOne - Arachnology",0,0
10.13157,"BioOne - Ardeola",0,0
10.13158,"BioOne - Herogia",0,0
10.12665,"BioProcessing Journal",0,0
10.1677,"BioScientifica (Society for Endocrinology)",0,0
10.9735,"Bioinfo Publications",129,161
10.5048,"Biologic Institute",1,115
10.3752,"Biological Survey Foundation",1,22
10.4089,"Biology Reports, Ltd.",0,0
10.11145,"Biomath Forum",1,35
10.6026,"Biomedical Informatics",1,1131
10.2220,"Biomedical Research Press",1,427
10.3774,"Biophilia Rehabilitation Acdemy",1,48
10.2142,"Biophysical Society of Japan",2,3144
10.1530,Bioscientifica,11,50206
10.1066,"Blackhorse Publishing",0,0
10.5696,"Blacksmith Institute",1,17
10.9784,"Blay Publishers",1,10
10.5040,"Bloomsbury Academic",0,0
10.2752,"Bloomsbury Academic (Oxford International Publishers Ltd)",18,5159
10.5339,"Bloomsbury Qatar Foundation Journals",16,1503
10.7905,"Bogdan Chmelnitskiy Melitopol State Pedagogical University",1,84
10.4308,"Bogor Agricultural University",1,172
10.12657,"Bogucki Wydawnictwo Naukowe",2,127
10.7767,"Bohlau Verlag",0,0
10.7788,"Bohlau Verlag",0,0
10.9756,Bonfring,8,162
10.5553,"Boom Uitgevers Den Haag",0,0
10.13179,"Borderless Scicence Publishing",0,0
10.6017,"Boston College University Libraries",1,304
10.3372,"Botanic Garden & Botanical Museum Berlin-Dahlem BGBM",1,435
10.3732,"Botanical Society of America",2,13462
10.7722,"Boydell & Brewer Group, Ltd.",0,0
10.12977,BraDypUS,1,13
10.7437,"Brazilian Center for Physican Research",2,31
10.5419,"Brazilian Journal of Petroleum and Gas",1,56
10.12820,"Brazilian Journal of Physical Activity and Sport",1,44
10.5540,"Brazilian Society for Computational and Applied Mathematics",2,692
10.6013,"Brewing Society of Japan",2,11605
10.7810,"Bridget Williams Books",0,0
10.7899,Brighthall,1,146
10.1163,"Brill Academic Publishers",221,132360
10.2959,"Brill Academic Publishers (Logos International Publishing Education Foundation)",1,95
10.5871,"British Academy",0,0
10.1302,"British Editorial Society of Bone and Joint Surgery",4,4700
10.7558,"British Hydrological Society",0,0
10.1784,"British Institute of Non-Destructive Testing",2,1677
10.1259,"British Institute of Radiology",3,24925
10.5244,"British Machine Vision Association and Society for Pattern Recognition",0,0
10.5197,"British Society for Plant Pathology",1,189
10.7864,"Brookings Institution Press",0,0
10.11122,"Bulent Ecevit University",1,48
10.9767,"Bulletin of Chemical Reaction Engineering and Catalysis",1,164
10.5343,"Bulletin of Marine Science",1,187
10.5118,"Burke's Peerage and Gentry",0,0
10.12730,"Bursa Ilahiyat Foundation",1,71
10.5700,"Business Department, School of Economics, Business & Accounting",2,276
10.12747,"Business Ethics Journal Review",1,7
